2018-06-28 12:34:35,827 [  12026]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.OptionsTopHitProvider$Activity@3d38b637 
2018-06-28 12:34:36,031 [  12230]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2018-06-28 12:34:36,074 [  12273]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63343 
2018-06-28 12:34:36,132 [  12331]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2018-06-28 12:34:36,662 [  12861]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:450, number of extensions:44 
2018-06-28 12:34:36,678 [  12877]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:16 
2018-06-28 12:34:36,867 [  13066]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:185, number of extensions:49 
2018-06-28 12:34:36,868 [  13067]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:1 
2018-06-28 12:34:38,454 [  14653]   INFO - plication.impl.ApplicationImpl - 89 application components initialized in 11424ms 
2018-06-28 12:34:38,493 [  14692]   INFO - .intellij.idea.IdeaApplication - App initialization took 18450 ms 
2018-06-28 12:34:38,494 [  14693]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.kotlin loaded 356 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.intellij.groovy loaded 177 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.android loaded 146 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.idea.maven loaded 57 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - CVS loaded 46 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.settingsRepository loaded 31 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - Git4Idea loaded 29 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - com.intellij.properties loaded 28 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - com.intellij.uiDesigner loaded 27 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - Subversion loaded 24 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - hg4idea loaded 24 classes 
